,Title,link
0,Claro residência,/claro/claro-residencia_h-VgVeL0ez_dO42I/
1,NO CONSIGO FALAR COM UM HUMANO,/claro/no-consigo-falar-com-um-humano_0kiSV_xg-r4R7MA-/
2,Oi virou claro e não recebe ligações!!!,/claro/oi-virou-claro-e-nao-recebe-ligacoes_MGLOn30IWxNKww6s/
3,Mudança de plano sem a minha autorização,/claro/mudanca-de-plano-sem-a-minha-autorizacao_LfCJnrKfeO3Tr4RV/
4,Plano PREZAO,/claro/plano-prezao_iW3NARVJ71tk_jVM/
5,CHIP queimado - pedido *******,/claro/chip-queimado-pedido_eLvdcLE1IyuO7EUl/
6,"Nada funciona, nem ouvidoria",/claro/nada-funciona-nem-ouvidoria_9Igz_fsfg9FthgcQ/
7,Alteração de plano,/claro/alteracao-de-plano_DnKjFXXSmJskm8hq/
8,Não cancelam o morador anterio4,/claro/nao-cancelam-o-morador-anterio4_Qj61eNrzTmyK6hzT/
9,MINHA PORTABILIDADE NÃO FOI FINALIZADA,/claro/minha-portabilidade-nao-foi-finalizada_4vN38Ww4SGY0NiMw/
10,Fatura,/claro/fatura_ENbQbwn1p7lgcxMl/
11,O pior canal de telefonia e internet,/claro/o-pior-canal-de-telefonia-e-internet_i8RoVnO50vF_bIDm/
12,To cansada de ser atendida por IA,/claro/to-cansada-de-ser-atendida-por-ia_oSSjPqtRpbG-B-k4/
13,Humilhado,/claro/humilhado_fuBQ8zLig568fZR7/
14,claro residencia,/claro/claro-residencia_ZRL3oWXjF0Rj5MrJ/
15,Sem sinal de internet e TV,/claro/sem-sinal-de-internet-e-tv_buZGy5lTmOqPE6Sf/
16,Internet cai todos os dias,/claro/internet-cai-todos-os-dias_E4NvBkEUnT549msj/
17,"Claro quer que assinemos plano, sem nossa intenção.",/claro/claro-quer-que-assinemos-plano-sem-nossa-intencao_P6_07kwPIFICy0qZ/
18,A Claro NET está me impedindo de encerrar o meu contrato de internet,/claro/a-claro-net-esta-me-impedindo-de-encerrar-o-meu-contrato-de-internet_pMOu7qBjhxpRXxpu/
19,FATURA ABUSIVA,/claro/fatura-abusiva_eKqmCd5rhat7ehX9/
20,"Claro quer que assinemos plano, sem nossa intenção.",/claro/claro-quer-que-assinemos-plano-sem-nossa-intencao_P6_07kwPIFICy0qZ/
21,A Claro NET está me impedindo de encerrar o meu contrato de internet,/claro/a-claro-net-esta-me-impedindo-de-encerrar-o-meu-contrato-de-internet_pMOu7qBjhxpRXxpu/
22,FATURA ABUSIVA,/claro/fatura-abusiva_eKqmCd5rhat7ehX9/
23,"Lesado, enganado pelo atendente",/claro/enganado-pelo-atendente_p2EdLW2YBGbhXc2Y/
24,Muitas ligações diariamente,/claro/muitas-ligacoes-diariamente_n5pKbYswa3MI84er/
25,Cobrança indevida.,/claro/cobranca-indevida_PAcxrl-8EZ9JXCBU/
26,CRÉDITOS NÃO ENTRARAM NO SALDO DO CELULAR,/claro/creditos-nao-entraram-no-saldo-do-celular_aMnDDTItJ8A5MybS/
27,Cobrança Indevida e Recorrente,/claro/cobranca-indevida-e-recorrente_io5a9SkVp2oOaqIm/
28,SEM INTERNET,/claro/sem-internet_7eU3RGcmaFrrbz1T/
29,Sem acesso ao meu número de celular desde 20/07 após portabilidade,/claro/sem-acesso-ao-meu-numero-de-celular-desde-20-07-apos-portabilidade_0sih7G_7zlYWnWmH/
30,Restituição da linha URGENTE,/claro/restituicao-da-linha-urgente_4lgJ2VW3iA3gE5BU/
31,Celular não funciona,/claro/celular-nao-funciona_UyoEL_yk1AWlCpXq/
32,COBRANÇA INDEVIDA - FALTA DE RESPEITO - EQUIPE MAL INFORMADA,/claro/cobranca-indevida-falta-de-respeito-equipe-mal-informada_0d05xjJnEyIqEHav/
33,Carreguei e não posso usar,/claro/carreguei-e-nao-posso-usar_VD1yhGGAf_lHHiPK/
34,"Péssimo atendimento, Desrespeito e Burocracia para cancelar uma compra de celular.",/claro/pessimo-atendimento-desrespeito-e-burocracia-para-cancelar-uma-compra-de-c_gsUaTIoI9Fo3qgCB/
35,Negativada no Serasa sendo que a fatura não venceu,/claro/negativada-no-serasa-sendo-que-a-fatura-nao-venceu__BCk861bmESfSOX3/
36,Telemarketing em excesso,/claro/telemarketing-em-excesso_ry3nfPIcZkozznDj/
37,Cobrança Indevida de Produto que não tenho (Claro TV BOX),/claro/cobranca-indevida-de-produto-que-nao-tenho-claro-tv-box_pQqRnvgHW6IDhRMW/
38,Visita técnica agendada e não realizada,/claro/visita-tecnica-agendada-e-nao-realizada_HSg062NUQelpuq2k/
39,Internet ruim,/claro/internet-ruim_LcPclB83n81AEYH4/
40,Restituição da linha URGENTE,/claro/restituicao-da-linha-urgente_4lgJ2VW3iA3gE5BU/
41,Celular não funciona,/claro/celular-nao-funciona_UyoEL_yk1AWlCpXq/
42,COBRANÇA INDEVIDA - FALTA DE RESPEITO - EQUIPE MAL INFORMADA,/claro/cobranca-indevida-falta-de-respeito-equipe-mal-informada_0d05xjJnEyIqEHav/
43,Carreguei e não posso usar,/claro/carreguei-e-nao-posso-usar_VD1yhGGAf_lHHiPK/
44,"Péssimo atendimento, Desrespeito e Burocracia para cancelar uma compra de celular.",/claro/pessimo-atendimento-desrespeito-e-burocracia-para-cancelar-uma-compra-de-c_gsUaTIoI9Fo3qgCB/
45,Negativada no Serasa sendo que a fatura não venceu,/claro/negativada-no-serasa-sendo-que-a-fatura-nao-venceu__BCk861bmESfSOX3/
46,Telemarketing em excesso,/claro/telemarketing-em-excesso_ry3nfPIcZkozznDj/
47,Cobrança Indevida de Produto que não tenho (Claro TV BOX),/claro/cobranca-indevida-de-produto-que-nao-tenho-claro-tv-box_pQqRnvgHW6IDhRMW/
48,Visita técnica agendada e não realizada,/claro/visita-tecnica-agendada-e-nao-realizada_HSg062NUQelpuq2k/
49,Internet ruim,/claro/internet-ruim_LcPclB83n81AEYH4/
50,Claro é um lixo,/claro/claro-e-um-lixo_Z-NhIhejEBPUxRsb/
51,FALTA DE SINAL,/claro/falta-de-sinal_3eyL99VoeOO_xiPR/
52,cobrança indevida,/claro/cobranca-indevida_fWpwzvKxQ1JWzhSt/
53,Falta de orientação e grosseria para devolução de equipamento,/claro/falta-de-orientacao-e-grosseria-para-devolucao-de-equipamento_Nm9P1x3N5FapWoaV/
54,Cobrança indevida,/claro/cobranca-indevida_-TLMWePdEPbJPees/
55,Portabilidade não efetivada.,/claro/portabilidade-nao-efetivada_RNNbfkNhsThPqHjZ/
56,Muda promoção prezao sem mandar uma msg para avisar,/claro/muda-promocao-prezao-sem-mandar-uma-msg-para-avisar_nDxUC8mQ4MWYM3pL/
